Month,Passengers,Time,Month_num,Year,Prev_Passengers,Predicted
1953-09-01,237,56,9,1953,272.0,262.53735704257133
1953-10-01,211,57,10,1953,237.0,234.44303599241596
1953-11-01,180,58,11,1953,211.0,213.3210222638088
1953-12-01,201,59,12,1953,180.0,188.32550446767493
1954-01-01,204,60,1,1954,201.0,222.72962140028835
1954-02-01,188,61,2,1954,204.0,224.07393126333636
1954-03-01,235,62,3,1954,188.0,210.69892566978274
1954-04-01,227,63,4,1954,235.0,246.13007132706616
1954-05-01,234,64,5,1954,227.0,238.95267224155532
1954-06-01,264,65,6,1954,234.0,243.39578535862472
1954-07-01,302,66,7,1954,264.0,265.65701718631715
1954-08-01,293,67,8,1954,302.0,294.11585552205247
1954-09-01,259,68,9,1954,293.0,286.1637556230362
1954-10-01,229,69,10,1954,259.0,258.84413538638626
1954-11-01,203,70,11,1954,229.0,234.6233184037577
1954-12-01,229,71,12,1954,203.0,213.50130467515055
1955-01-01,242,72,1,1955,229.0,251.77892567529068
1955-02-01,233,73,2,1955,242.0,260.8702436733922
1955-03-01,267,74,3,1955,233.0,252.91814377437595
1955-04-01,269,75,4,1955,267.0,278.2781788560899
1955-05-01,270,76,5,1955,269.0,278.8477879056326
1955-06-01,315,77,6,1955,270.0,278.64269614166983
1955-07-01,364,78,7,1955,315.0,312.5244401719426
1955-08-01,347,79,8,1955,364.0,349.5049874562367
1955-09-01,312,80,9,1955,347.0,335.3552810491776
1955-10-01,274,81,10,1955,312.0,307.26095999902236
1955-11-01,237,82,11,1955,274.0,276.84253650835103
1955-12-01,278,83,12,1955,237.0,247.19881383118502
1956-01-01,284,84,1,1956,278.0,297.0969470339055
1956-02-01,277,85,2,1956,284.0,300.7653593374696
1956-03-01,317,86,3,1956,277.0,294.36266106546407
1956-04-01,313,87,4,1956,317.0,324.37090102821
1956-05-01,318,88,5,1956,313.0,320.2923051967206
1956-06-01,374,89,6,1956,318.0,323.1860166867792
1956-07-01,413,90,7,1956,374.0,365.58946966561075
1956-08-01,405,91,8,1956,413.0,394.8230088148514
1956-09-01,355,92,9,1956,405.0,387.64560972934055
1956-10-01,306,93,10,1956,355.0,347.93077647660493
1956-11-01,271,94,11,1956,306.0,308.99064403737475
1956-12-01,306,95,12,1956,271.0,280.8963229872195
1957-01-01,315,96,1,1957,306.0,326.14625130890784
1957-02-01,301,97,2,1957,315.0,332.1387660529879
1957-03-01,356,98,3,1957,301.0,320.313162086445
1957-04-01,348,99,4,1957,356.0,361.9419142517712
1957-05-01,355,100,5,1957,348.0,354.76451516626037
1957-06-01,422,101,6,1957,355.0,359.20762828332977
1957-07-01,465,102,7,1957,422.0,410.13279021072026
1957-08-01,467,103,8,1957,465.0,442.4651326139822
1957-09-01,404,104,9,1957,467.0,443.03474166352487
1957-10-01,347,105,10,1957,404.0,393.24879783521976
1957-11-01,305,106,11,1957,347.0,348.1110588879467
1957-12-01,336,107,12,1957,305.0,314.59383214325396
1958-01-01,340,108,1,1958,336.0,356.7449572109209
1958-02-01,318,109,2,1958,340.0,358.86396788747425
1958-03-01,362,110,3,1958,318.0,340.8407574128885
1958-04-01,348,111,4,1958,362.0,373.94780062965583
1958-05-01,363,112,5,1958,348.0,362.12219666311285
1958-06-01,435,113,6,1958,363.0,372.76291628822514
1958-07-01,491,114,7,1958,435.0,427.56158228314234
1958-08-01,505,115,8,1958,491.0,469.96503526197387
1958-09-01,404,116,9,1958,505.0,479.8310540735806
1958-10-01,359,117,10,1958,404.0,400.60647933207224
1958-11-01,310,118,11,1958,359.0,364.76515014686345
1958-12-01,337,119,12,1958,310.0,325.82501770763326
1959-01-01,360,120,1,1959,337.0,364.8773395212788
1959-02-01,342,121,2,1959,360.0,381.7156656544338
1959-03-01,406,122,3,1959,342.0,366.7912584338694
1959-04-01,396,123,4,1959,406.0,415.39231792074384
1959-05-01,420,124,5,1959,396.0,406.66551720822235
1959-06-01,472,125,6,1959,420.0,424.27854415488264
1959-07-01,548,126,7,1959,472.0,463.5831938796928
1959-08-01,559,127,8,1959,548.0,521.4806631286315
1959-09-01,463,128,9,1959,559.0,529.0225794997223
1959-10-01,407,129,10,1959,463.0,453.6715088257406
1959-11-01,362,130,11,1959,407.0,409.30847069197284
1959-12-01,405,131,12,1959,362.0,373.46714150676405
1960-01-01,417,132,1,1960,405.0,424.9146763364952
1960-02-01,391,133,2,1960,417.0,433.2312935210914
1960-03-01,419,134,3,1960,391.0,412.10927979248413
1960-04-01,461,135,4,1960,419.0,432.8211099931659
1960-05-01,472,136,5,1960,461.0,464.37875158292263
1960-06-01,535,137,6,1960,472.0,471.9206679540134
1960-07-01,622,138,7,1960,535.0,519.7470266273824
1960-08-01,606,139,8,1960,622.0,586.1662048248799
1960-09-01,508,140,9,1960,606.0,572.7911992313262
1960-10-01,461,141,10,1960,508.0,495.8907269303338
1960-11-01,390,142,11,1960,461.0,458.49999611811427
1960-12-01,432,143,12,1960,390.0,402.5164457817664
